ID,Case_Number,Date,Block,IUCR,Primary_Type,Description,Location_Description,Arrest,Domestic,Beat,District,Ward,Community_Area,FBI_Code,X_Coordinate,Y_Coordinate,Year,Updated_On,Latitude,Longitude,Location,Violent
10508693,HZ250496,42493.98611,013XX S SAWYER AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,TRUE,TRUE,1022,10,24,29,08B,1154907,1893681,2016,42500.66389,41.86407316,-87.70681861,"(41.864073157, -87.706818608)",1
10508695,HZ250409,42493.90278,061XX S DREXEL AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,313,3,20,42,08B,1183066,1864330,2016,42500.66389,41.78292153,-87.60436317,"(41.782921527, -87.60436317)",1
10508697,HZ250503,42493.97986,053XX W CHICAGO AVE,470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,FALSE,FALSE,1524,15,37,25,24,1140789,1904819,2016,42500.66389,41.89490828,-87.75837196,"(41.894908283, -87.758371958)",0
10508698,HZ250424,42493.92361,049XX W FULTON ST,460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,1532,15,28,25,08B,1143223,1901475,2016,42500.66389,41.88568685,-87.74951598,"(41.885686845, -87.749515983)",1
10508699,HZ250455,42493.91667,003XX N LOTUS AVE,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,TRUE,1523,15,28,25,6,1139890,1901675,2016,42500.66389,41.88629724,-87.76175071,"(41.886297242, -87.761750709)",0
10508702,HZ250447,42493.94097,082XX S MARYLAND AVE,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,FALSE,FALSE,631,6,8,44,04B,1183336,1850642,2016,42500.66389,41.74535402,-87.6037989,"(41.745354023, -87.603798903)",1
10508703,HZ250489,42493.9375,027XX S STATE ST,460,BATTERY,SIMPLE,CHA HALLWAY/STAIRWELL/ELEVATOR,FALSE,FALSE,133,1,3,35,08B,1176730,1886544,2016,42500.66389,41.84402377,-87.62692325,"(41.844023772, -87.626923253)",1
10508704,HZ250514,42493.89583,002XX E 46TH ST,460,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,215,2,3,38,08B,1178514,1874573,2016,42500.66389,41.81113396,-87.62074077,"(41.811133958, -87.62074077)",1
10508709,HZ250523,42493.66667,014XX W DEVON AVE,460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,2432,24,40,1,08B,1165696,1942616,2016,42500.66389,41.99813061,-87.66581404,"(41.99813061, -87.665814038)",1
10508982,HZ250667,42493.9375,069XX S ASHLAND AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,FALSE,TRUE,735,7,17,67,08B,1166876,1858796,2016,42500.66389,41.76809684,-87.66387859,"(41.768096835, -87.663878589)",1
10508710,HZ250469,42493.90556,074XX S SOUTH SHORE DR,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,VEHICLE NON-COMMERCIAL,TRUE,FALSE,334,3,7,43,15,1195696,1856719,2016,42500.66389,41.76173329,-87.55830998,"(41.761733286, -87.558309979)",0
10508715,HZ250541,42493.96597,006XX N WABASH AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,TRUE,TRUE,1834,18,42,8,08B,1176630,1904401,2016,42500.66389,41.89302675,-87.62675083,"(41.893026751, -87.626750829)",1
10508717,HZ250415,42493.72917,011XX W JACKSON BLVD,890,THEFT,FROM BUILDING,OTHER,FALSE,FALSE,1232,12,2,28,6,1168776,1898793,2016,42500.66389,41.87781186,-87.65575801,"(41.877811861, -87.655758012)",0
10508724,HZ250513,42493.375,028XX S DR MARTIN LUTHER KING JR DR,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,133,1,4,35,6,1179375,1886199,2016,42500.66389,41.84301696,-87.61722727,"(41.843016958, -87.61722727)",0
10508728,HZ250505,42493.92222,016XX N CLAREMONT AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,1434,14,1,24,6,1160444,1910787,2016,42500.66389,41.91090083,-87.68601875,"(41.910900826, -87.686018747)",0
10508732,HZ250535,42493.66667,072XX S RICHMOND ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,831,8,18,66,08B,1157957,1856539,2016,42500.66389,41.76208913,-87.69663234,"(41.762089133, -87.696632337)",1
10508738,HZ250440,42493.90625,020XX W LE MOYNE ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,1424,14,1,24,6,1162515,1909832,2016,42500.66389,41.9082371,-87.67843742,"(41.908237096, -87.678437417)",0
10508741,HZ250587,42493.91667,055XX S STATE ST,313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,SIDEWALK,FALSE,FALSE,225,2,3,40,3,1177219,1868295,2016,42500.66389,41.79393591,-87.62568028,"(41.793935909, -87.625680278)",1
10508747,HZ250577,42493.83333,100XX S SANGAMON ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,2232,22,34,73,7,1171751,1838335,2016,42500.66389,41.71184357,-87.64660793,"(41.711843569, -87.646607932)",0
10508752,HZ250500,42493.95833,043XX S ELLIS AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,222,2,4,39,08B,1183654,1876344,2016,42500.66389,41.81587521,-87.60183257,"(41.815875211, -87.601832565)",1
10508755,HZ250531,42493.98403,015XX N DAMEN AVE,560,ASSAULT,SIMPLE,SIDEWALK,FALSE,FALSE,1424,14,1,24,08A,1162780,1910519,2016,42500.66389,41.91011672,-87.67744465,"(41.910116718, -87.677444645)",1
10508757,HZ250601,42493.5625,057XX S COTTAGE GROVE AVE,560,ASSAULT,SIMPLE,OTHER,FALSE,FALSE,235,2,5,41,08A,1182557,1867162,2016,42500.66389,41.79070461,-87.60614149,"(41.790704614, -87.606141486)",1
10508987,HZ250698,42493.77083,025XX N GREENVIEW AVE,810,THEFT,OVER $500,RESIDENCE-GARAGE,FALSE,FALSE,1932,19,32,7,6,1165898,1916813,2016,42500.66389,41.92732184,-87.66581042,"(41.927321839, -87.665810418)",0
10509011,HZ250748,42493.875,068XX W HIGHLAND AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1611,16,41,10,6,1129898,1941574,2016,42500.66389,41.99596152,-87.79752856,"(41.995961517, -87.797528563)",0
10509016,HZ250610,42493.97917,003XX W HUBBARD ST,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,FALSE,FALSE,1831,18,42,8,26,1173680,1903250,2016,42500.66389,41.88993449,-87.63761923,"(41.889934493, -87.637619229)",0
10509030,HZ250659,42493.29167,010XX W 95TH ST,820,THEFT,$500 AND UNDER,VEHICLE-COMMERCIAL,FALSE,FALSE,2223,22,21,73,6,1170857,1841803,2016,42500.66389,41.7213798,-87.64978116,"(41.721379795, -87.649781161)",0
10509071,HZ250713,42493.85417,012XX W FULLERTON AVE,820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1932,19,32,7,6,1167657,1916082,2016,42500.66389,41.92527818,-87.65936796,"(41.925278177, -87.65936796)",0
10509077,HZ250776,42493.00069,002XX W 33RD ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,FALSE,FALSE,915,9,11,34,11,1175297,1883093,2016,42500.66389,41.83458618,-87.63228541,"(41.834586177, -87.632285413)",0
10509078,HZ250611,42493.00069,043XX S SAWYER AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,821,8,14,58,11,1155409,1875700,2016,42500.66389,41.81472107,-87.7054583,"(41.814721065, -87.7054583)",0
10509094,HZ250662,42493.95833,084XX S MORGAN ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,613,6,21,71,7,1171118,1848917,2016,42500.66389,41.74089592,-87.64861788,"(41.740895923, -87.648617881)",0
10509096,HZ250700,42493.69792,003XX W MONROE ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,122,1,2,32,7,1174166,1899864,2016,42500.66389,41.88063228,-87.63593549,"(41.88063228, -87.635935494)",0
10509107,HZ250666,42493.61111,001XX S PARKSIDE AVE,460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, GROUNDS",FALSE,FALSE,1513,15,29,25,08B,1138636,1898830,2016,42500.66389,41.87851302,-87.76642478,"(41.87851302, -87.766424778)",1
10509118,HZ250763,42493.8125,042XX W KAMERLING AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,2534,25,37,23,6,1147775,1908648,2016,42500.66389,41.90528413,-87.73261553,"(41.90528413, -87.732615525)",0
